Category ID,Category name,UNIX time,Date (America/Chicago CDT),Text
1,"dataset",1560022001,"Jun 8, 2019 (Sat) 02:26:41 PM","0 0"
1,"dataset",1560022025,"Jun 8, 2019 (Sat) 02:27:05 PM","0 1"
1,"dataset",1560022042,"Jun 8, 2019 (Sat) 02:27:22 PM","0 2"
1,"dataset",1560022061,"Jun 8, 2019 (Sat) 02:27:41 PM","0 3"
1,"dataset",1560022090,"Jun 8, 2019 (Sat) 02:28:10 PM","0 4"
1,"dataset",1560022114,"Jun 8, 2019 (Sat) 02:28:34 PM","0 5"
1,"dataset",1560022142,"Jun 8, 2019 (Sat) 02:29:02 PM","0 6"
1,"dataset",1560022164,"Jun 8, 2019 (Sat) 02:29:24 PM","1 6"
1,"dataset",1560022188,"Jun 8, 2019 (Sat) 02:29:48 PM","2 6"
1,"dataset",1560022209,"Jun 8, 2019 (Sat) 02:30:09 PM","3 6"
1,"dataset",1560022232,"Jun 8, 2019 (Sat) 02:30:32 PM","4 6"
1,"dataset",1560022262,"Jun 8, 2019 (Sat) 02:31:02 PM","-1 6"
1,"dataset",1560022287,"Jun 8, 2019 (Sat) 02:31:27 PM","-2 6"
1,"dataset",1560022309,"Jun 8, 2019 (Sat) 02:31:49 PM","-3 6"
1,"dataset",1560022329,"Jun 8, 2019 (Sat) 02:32:09 PM","-4 6"
1,"dataset",1560022364,"Jun 8, 2019 (Sat) 02:32:44 PM","-5 6"
1,"dataset",1560022388,"Jun 8, 2019 (Sat) 02:33:08 PM","-6 6"
