Category ID,Category name,UNIX time,Date (America/Chicago CDT),Text
1,"dataset",1560984533,"Jun 19, 2019 (Wed) 05:48:53 PM","0 0"
1,"dataset",1560984552,"Jun 19, 2019 (Wed) 05:49:12 PM","0 1"
1,"dataset",1560984583,"Jun 19, 2019 (Wed) 05:49:43 PM","0 2"
1,"dataset",1560984607,"Jun 19, 2019 (Wed) 05:50:07 PM","0 3"
1,"dataset",1560984626,"Jun 19, 2019 (Wed) 05:50:26 PM","0 4"
1,"dataset",1560984650,"Jun 19, 2019 (Wed) 05:50:50 PM","0 5"
1,"dataset",1560984673,"Jun 19, 2019 (Wed) 05:51:13 PM","0 6"
1,"dataset",1560984694,"Jun 19, 2019 (Wed) 05:51:34 PM","1 6"
1,"dataset",1560984724,"Jun 19, 2019 (Wed) 05:52:04 PM","2 6"
1,"dataset",1560984745,"Jun 19, 2019 (Wed) 05:52:25 PM","3 6"
1,"dataset",1560984773,"Jun 19, 2019 (Wed) 05:52:53 PM","4 6"
1,"dataset",1560984822,"Jun 19, 2019 (Wed) 05:53:42 PM","-1 6"
1,"dataset",1560984859,"Jun 19, 2019 (Wed) 05:54:19 PM","-2 6"
1,"dataset",1560984888,"Jun 19, 2019 (Wed) 05:54:48 PM","-3 6"
1,"dataset",1560984938,"Jun 19, 2019 (Wed) 05:55:38 PM","-4 6"
1,"dataset",1560984965,"Jun 19, 2019 (Wed) 05:56:05 PM","-5 6"
1,"dataset",1560984994,"Jun 19, 2019 (Wed) 05:56:34 PM","-6 6"
