Category ID,Category name,UNIX time,Date (America/Chicago CDT),Text
1,dataset,1560017063,"Jun 8, 2019 (Sat) 01:04:23 PM",0 0
1,dataset,1560017082,"Jun 8, 2019 (Sat) 01:04:42 PM",0 1
1,dataset,1560017113,"Jun 8, 2019 (Sat) 01:05:13 PM",0 2
1,dataset,1560017137,"Jun 8, 2019 (Sat) 01:05:37 PM",0 3
1,dataset,1560017155,"Jun 8, 2019 (Sat) 01:05:55 PM",0 4
1,dataset,1560017177,"Jun 8, 2019 (Sat) 01:06:17 PM",0 5
1,dataset,1560017200,"Jun 8, 2019 (Sat) 01:06:40 PM",0 6
1,dataset,1560017222,"Jun 8, 2019 (Sat) 01:07:02 PM",1 6
1,dataset,1560017246,"Jun 8, 2019 (Sat) 01:07:26 PM",2 6
1,dataset,1560017268,"Jun 8, 2019 (Sat) 01:07:48 PM",3 6
1,dataset,1560017288,"Jun 8, 2019 (Sat) 01:08:08 PM",4 6
1,dataset,1560017321,"Jun 8, 2019 (Sat) 01:08:41 PM",-1 6
1,dataset,1560017340,"Jun 8, 2019 (Sat) 01:09:00 PM",-2 6
1,dataset,1560017363,"Jun 8, 2019 (Sat) 01:09:23 PM",-3 6
1,dataset,1560017399,"Jun 8, 2019 (Sat) 01:09:59 PM",-4 6
1,dataset,1560017427,"Jun 8, 2019 (Sat) 01:10:27 PM",-5 6
1,dataset,1560017454,"Jun 8, 2019 (Sat) 01:10:54 PM",-6 6
